•ÈÀCategory,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
a,19th Century and Civil War,Books,Alcott in Her Own Time,,1,b,,,,0.5
a,19th Century and Civil War,Books,Algernon Sidney and the Republican Heritage in England and America,,1,b,,,,0.5
a,19th Century and Civil War,Books,All Bound Up Together,,1,b,,,,0.5
a,19th Century and Civil War,Books,Allegany To Appomattox,,1,b,,,,0.5
a,19th Century and Civil War,Books,Almost Free,,1,b,,,,0.5
a,19th Century and Civil War,Books,Along the Streets of Bronzeville,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Ambition, Competition, and Electoral Reform",,1,b,,,,0.5
a,19th Century and Civil War,Books,America in the Forties,,1,b,,,,0.5
a,19th Century and Civil War,Books,America in the Gilded Age,,1,b,,,,0.5
a,19th Century and Civil War,Books,America's Corporal,,1,b,,,,0.5
a,19th Century and Civil War,Books,America's First Adventure in China,,1,b,,,,0.5
a,19th Century and Civil War,Books,America's First Black Socialist,,1,b,,,,0.5
a,19th Century and Civil War,Books,America's First Great Depression,,1,b,,,,0.5
a,19th Century and Civil War,Books,America's Political Dynasties,,1,b,,,,0.5
a,19th Century and Civil War,Books,American Civil Wars,,1,b,,,,0.5
a,19th Century and Civil War,Books,American Collegiate Populations,,1,b,,,,0.5
a,19th Century and Civil War,Books,American Grit,,1,b,,,,0.5
a,19th Century and Civil War,Books,American Indians and State Law,,1,b,,,,0.5
a,19th Century and Civil War,Books,American Jesuits and the World,,1,b,,,,0.5
a,19th Century and Civil War,Books,American Oracle,,1,b,,,,0.5
a,19th Century and Civil War,Books,American Slavery As It Is,,1,b,,,,0.5
a,19th Century and Civil War,Books,American Zion,,1,b,,,,0.5
a,19th Century and Civil War,Books,Amiable Scoundrel,,1,b,,,,0.5
a,19th Century and Civil War,Books,Amistad's Orphans,,1,b,,,,0.5
a,19th Century and Civil War,Books,An African Republic,,1,b,,,,0.5
a,19th Century and Civil War,Books,An American Dissenter,,1,b,,,,0.5
a,19th Century and Civil War,Books,An American Girl in the Hawaiian Islands,,1,b,,,,0.5
a,19th Century and Civil War,Books,An American Language,,1,b,,,,0.5
a,19th Century and Civil War,Books,An Anthology of Nineteenth-Century American Science Writing,,1,b,,,,0.5
a,19th Century and Civil War,Books,An Elusive Unity,,1,b,,,,0.5
a,19th Century and Civil War,Books,Anna,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Another Civil War: Labor, Capital, and the State in the Anthracite Regions of Pennsylvania, 1840-1868",,1,b,,,,0.5
a,19th Century and Civil War,Books,Antebellum Politics in Tennessee,,1,b,,,,0.5
a,19th Century and Civil War,Books,Apostle of Union,,1,b,,,,0.5
a,19th Century and Civil War,Books,Apostles of Equality,,1,b,,,,0.5
a,19th Century and Civil War,Books,Arcadian America,,1,b,,,,0.5
a,19th Century and Civil War,Books,Aristocrats of Color,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Arkansas, 1800-1860",,1,b,,,,0.5
a,19th Century and Civil War,Books,Army Life,,1,b,,,,0.5
a,19th Century and Civil War,Books,Art Work,,1,b,,,,0.5
a,19th Century and Civil War,Books,Artillery of Heaven,,1,b,,,,0.5
a,19th Century and Civil War,Books,Ashes of the Mind,,1,b,,,,0.5
a,19th Century and Civil War,Books,At Home in Nineteenth-Century America,,1,b,,,,0.5
a,19th Century and Civil War,Books,At the Precipice,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Atlanta, Cradle of the New South",,1,b,,,,0.5
a,19th Century and Civil War,Books,Atlantic Bonds,,1,b,,,,0.5
a,19th Century and Civil War,Books,Autobiography of Samuel S. Hildebrand,,1,b,,,,0.5
a,19th Century and Civil War,Books,Awaiting the Heavenly Country,,1,b,,,,0.5
a,19th Century and Civil War,Books,Baking Powder Wars,,1,b,,,,0.5
a,19th Century and Civil War,Books,Ballykilcline rising,,1,b,,,,0.5
a,19th Century and Civil War,Books,Baptized in Blood,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bargaining with the State from Afar,,1,b,,,,0.5
a,19th Century and Civil War,Books,Baseball in Blue and Gray,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Basil Wilson Duke, CSA",,1,b,,,,0.5
a,19th Century and Civil War,Books,Battle Hymns,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Battles and Leaders of the Civil War, Volume 5",,1,b,,,,0.5
a,19th Century and Civil War,Books,"Battles and Leaders of the Civil War, Volume 6",,1,b,,,,0.5
a,19th Century and Civil War,Books,Becoming American under Fire,,1,b,,,,0.5
a,19th Century and Civil War,Books,Becoming Confederates,,1,b,,,,0.5
a,19th Century and Civil War,Books,Before Harlem,,1,b,,,,0.5
a,19th Century and Civil War,Books,Before Jim Crow,,1,b,,,,0.5
a,19th Century and Civil War,Books,Before L.A.,,1,b,,,,0.5
a,19th Century and Civil War,Books,Behind the Front Lines of the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Behind the Scenes, or, Thirty Years a Slave, and Four Years in the White House",,1,b,,,,0.5
a,19th Century and Civil War,Books,Berry Benson's Civil War Book,,1,b,,,,0.5
a,19th Century and Civil War,Books,Between Slavery and Capitalism,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Bicycles, Bangs, and Bloomers",,1,b,,,,0.5
a,19th Century and Civil War,Books,Big Bone Lick,,1,b,,,,0.5
a,19th Century and Civil War,Books,Big Enough to Be Inconsistent,,1,b,,,,0.5
a,19th Century and Civil War,Books,Birch Coulie,,1,b,,,,0.5
a,19th Century and Civil War,Books,Black Elk Speaks,,1,b,,,,0.5
a,19th Century and Civil War,Books,Black Flag Boricuas,,1,b,,,,0.5
a,19th Century and Civil War,Books,Black Gotham,,1,b,,,,0.5
a,19th Century and Civil War,Books,Black Liberation in Kentucky,,1,b,,,,0.5
a,19th Century and Civil War,Books,Black Litigants in the Antebellum American South,,1,b,,,,0.5
a,19th Century and Civil War,Books,Black Walden,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Bleeding Kansas, Bleeding Missouri",,1,b,,,,0.5
a,19th Century and Civil War,Books,Blood on the Moon,,1,b,,,,0.5
a,19th Century and Civil War,Books,Blood Will Tell,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bloody Engagements,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bloody Lowndes,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bloomer Girls,,1,b,,,,0.5
a,19th Century and Civil War,Books,Blue and Gray Diplomacy,,1,b,,,,0.5
a,19th Century and Civil War,Books,Blue-Eyed Child of Fortune,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bluecoats and Tar Heels,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bluegrass Craftsman,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bluejackets and Contrabands,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bodies of Reform,,1,b,,,,0.5
a,19th Century and Civil War,Books,Body and Soul,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bonds of Union,,1,b,,,,0.5
a,19th Century and Civil War,Books,Border Law,,1,b,,,,0.5
a,19th Century and Civil War,Books,Borderlines in Borderlands,,1,b,,,,0.5
a,19th Century and Civil War,Books,Born Losers,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bouki Fait Gombo,,1,b,,,,0.5
a,19th Century and Civil War,Books,Brandeis And America,,1,b,,,,0.5
a,19th Century and Civil War,Books,Braxton Bragg,,1,b,,,,0.5
a,19th Century and Civil War,Books,Breckinridge,,1,b,,,,0.5
a,19th Century and Civil War,Books,Breeding Contempt,,1,b,,,,0.5
a,19th Century and Civil War,Books,Brigadier General John D. Imboden,,1,b,,,,0.5
a,19th Century and Civil War,Books,Brigham Young,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Brigham Young, the Quorum of the Twelve, and the Latter-Day Saint Investigation of the Mountain Meadows Massacre",,1,b,,,,0.5
a,19th Century and Civil War,Books,Brigham Young's Homes,,1,b,,,,0.5
a,19th Century and Civil War,Books,Bright Epoch,,1,b,,,,0.5
a,19th Century and Civil War,Books,Buffalo Nation,,1,b,,,,0.5
a,19th Century and Civil War,Books,Building an American Empire,,1,b,,,,0.5
a,19th Century and Civil War,Books,Building the Land of Dreams,,1,b,,,,0.5
a,19th Century and Civil War,Books,Burying the Dead but Not the Past,,1,b,,,,0.5
a,19th Century and Civil War,Books,Busy in the Cause,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Camp Nelson, Kentucky",,1,b,,,,0.5
a,19th Century and Civil War,Books,Capital and Convict,,1,b,,,,0.5
a,19th Century and Civil War,Books,Capital Intentions,,1,b,,,,0.5
a,19th Century and Civil War,Books,Capital of Capital,,1,b,,,,0.5
a,19th Century and Civil War,Books,Capitalism by Gaslight,,1,b,,,,0.5
a,19th Century and Civil War,Books,Carlisle Indian Industrial School,,1,b,,,,0.5
a,19th Century and Civil War,Books,Cattle Kingdom in the Ohio Valley 1783--1860,,1,b,,,,0.5
a,19th Century and Civil War,Books,Cause for Alarm,,1,b,,,,0.5
a,19th Century and Civil War,Books,Cecelia and Fanny,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Celia, a Slave",,1,b,,,,0.5
a,19th Century and Civil War,Books,Censoring Racial Ridicule,,1,b,,,,0.5
a,19th Century and Civil War,Books,Chancellorsville,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Chancellorsville and the Germans: Nativism, Ethnicity, and Civil War Memory",,1,b,,,,0.5
a,19th Century and Civil War,Books,Chang and Eng Reconnected,,1,b,,,,0.5
a,19th Century and Civil War,Books,Charleston and the Emergence of Middle-Class Culture in the Revolutionary Era,,1,b,,,,0.5
a,19th Century and Civil War,Books,Cherokee Sister,,1,b,,,,0.5
a,19th Century and Civil War,Books,Chicago's Grand Midway,,1,b,,,,0.5
a,19th Century and Civil War,Books,Chicago's White City of 1893,,1,b,,,,0.5
a,19th Century and Civil War,Books,Christian Imperialism,,1,b,,,,0.5
a,19th Century and Civil War,Books,Cities of the Dead,,1,b,,,,0.5
a,19th Century and Civil War,Books,Citizen Employers,,1,b,,,,0.5
a,19th Century and Civil War,Books,Citizen Soldiers in the War of 1812,,1,b,,,,0.5
a,19th Century and Civil War,Books,Citizen-General,,1,b,,,,0.5
a,19th Century and Civil War,Books,Citizens More than Soldiers,,1,b,,,,0.5
a,19th Century and Civil War,Books,Citizens of a Christian Nation,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Citizens or Papists?: The Politics of Anti-Catholicism in New York, 1685-1821",,1,b,,,,0.5
a,19th Century and Civil War,Books,Civil War Arkansas,,1,b,,,,0.5
a,19th Century and Civil War,Books,Civil War Citizens,,1,b,,,,0.5
a,19th Century and Civil War,Books,Civil War Dynasty,,1,b,,,,0.5
a,19th Century and Civil War,Books,Civil War Leadership and Mexican War Experience,,1,b,,,,0.5
a,19th Century and Civil War,Books,Civil War Mississippi,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Civil War Nurse Narratives, 1863-1870",,1,b,,,,0.5
a,19th Century and Civil War,Books,Civil War Time,,1,b,,,,0.5
a,19th Century and Civil War,Books,Civil War Washington,,1,b,,,,0.5
a,19th Century and Civil War,Books,Civil War Years,,1,b,,,,0.5
a,19th Century and Civil War,Books,Cold Harbor to the Crater,,1,b,,,,0.5
a,19th Century and Civil War,Books,Collaborators for Emancipation,,1,b,,,,0.5
a,19th Century and Civil War,Books,Colored Travelers,,1,b,,,,0.5
a,19th Century and Civil War,Books,Coming of Age in Chicago,,1,b,,,,0.5
a,19th Century and Civil War,Books,Common Whites,,1,b,,,,0.5
a,19th Century and Civil War,Books,Confederate General R.S. Ewell,,1,b,,,,0.5
a,19th Century and Civil War,Books,Confederate Guerrilla,,1,b,,,,0.5
a,19th Century and Civil War,Books,Confederate Industry,,1,b,,,,0.5
a,19th Century and Civil War,Books,Confederate Slave Impressment in the Upper South,,1,b,,,,0.5
a,19th Century and Civil War,Books,Confederate Visions,,1,b,,,,0.5
a,19th Century and Civil War,Books,Confederates in the Tropics,,1,b,,,,0.5
a,19th Century and Civil War,Books,Constitutionalism in the Approach and Aftermath of the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,Contentious Liberties,,1,b,,,,0.5
a,19th Century and Civil War,Books,Contested Borderland,,1,b,,,,0.5
a,19th Century and Civil War,Books,Corinth 1862,,1,b,,,,0.5
a,19th Century and Civil War,Books,Counter-Thrust,,1,b,,,,0.5
a,19th Century and Civil War,Books,Courtship and Love among the Enslaved in North Carolina,,1,b,,,,0.5
a,19th Century and Civil War,Books,Covered with Glory,,1,b,,,,0.5
a,19th Century and Civil War,Books,Cow Boys and Cattle Men,,1,b,,,,0.5
a,19th Century and Civil War,Books,Creating a Confederate Kentucky,,1,b,,,,0.5
a,19th Century and Civil War,Books,Creating the Administrative Constitution,,1,b,,,,0.5
a,19th Century and Civil War,Books,Creating the Culture of Reform in Antebellum America,,1,b,,,,0.5
a,19th Century and Civil War,Books,Criminal Injustice,,1,b,,,,0.5
a,19th Century and Civil War,Books,Critical Americans,,1,b,,,,0.5
a,19th Century and Civil War,Books,Crucible of the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,Cultural Construction of Empire,,1,b,,,,0.5
a,19th Century and Civil War,Books,Cultures In Conflict,,1,b,,,,0.5
a,19th Century and Civil War,Books,Cushing of Gettysburg,,1,b,,,,0.5
a,19th Century and Civil War,Books,Dark Victorians,,1,b,,,,0.5
a,19th Century and Civil War,Books,David Wendel Yandell,,1,b,,,,0.5
a,19th Century and Civil War,Books,De Bow's Review,,1,b,,,,0.5
a,19th Century and Civil War,Books,Dear Sarah,,1,b,,,,0.5
a,19th Century and Civil War,Books,Declaring His Genius,,1,b,,,,0.5
a,19th Century and Civil War,Books,Defeating Lee,,1,b,,,,0.5
a,19th Century and Civil War,Books,Defining Duty in the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,Degrees of Freedom,,1,b,,,,0.5
a,19th Century and Civil War,Books,Delia Webster and the Underground Railroad,,1,b,,,,0.5
a,19th Century and Civil War,Books,Delia's Tears,,1,b,,,,0.5
a,19th Century and Civil War,Books,Democracy's Spectacle,,1,b,,,,0.5
a,19th Century and Civil War,Books,Democratic Beginnings,,1,b,,,,0.5
a,19th Century and Civil War,Books,Democratic Vistas,,1,b,,,,0.5
a,19th Century and Civil War,Books,Deserter Country,,1,b,,,,0.5
a,19th Century and Civil War,Books,Designing Dixie,,1,b,,,,0.5
a,19th Century and Civil War,Books,Devil's Game,,1,b,,,,0.5
a,19th Century and Civil War,Books,Devils and Rebels,,1,b,,,,0.5
a,19th Century and Civil War,Books,Diary of a Southern Refugee during the War,,1,b,,,,0.5
a,19th Century and Civil War,Books,Dime Novel Desperadoes,,1,b,,,,0.5
a,19th Century and Civil War,Books,Distant Revolutions,,1,b,,,,0.5
a,19th Century and Civil War,Books,Distinguishing the Righteous from the Roguish,,1,b,,,,0.5
a,19th Century and Civil War,Books,Disunion!,,1,b,,,,0.5
a,19th Century and Civil War,Books,Doctoring the South,,1,b,,,,0.5
a,19th Century and Civil War,Books,Dodge City and the Birth of the Wild West,,1,b,,,,0.5
a,19th Century and Civil War,Books,Domestic Intimacies,,1,b,,,,0.5
a,19th Century and Civil War,Books,Domestic Subjects,,1,b,,,,0.5
a,19th Century and Civil War,Books,Domesticating Foreign Struggles,,1,b,,,,0.5
a,19th Century and Civil War,Books,Driven by Fear,,1,b,,,,0.5
a,19th Century and Civil War,Books,Driven from Home,,1,b,,,,0.5
a,19th Century and Civil War,Books,Dwelling Place,,1,b,,,,0.5
a,19th Century and Civil War,Books,E Pluribus Unum,,1,b,,,,0.5
a,19th Century and Civil War,Books,Educational Reconstruction,,1,b,,,,0.5
a,19th Century and Civil War,Books,Eighty-Eight Years,,1,b,,,,0.5
a,19th Century and Civil War,Books,Electing the House,,1,b,,,,0.5
a,19th Century and Civil War,Books,Electing the Senate,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Elizabeth Cady Stanton, Feminist as Thinker",,1,b,,,,0.5
a,19th Century and Civil War,Books,Elizabeth Patterson Bonaparte,,1,b,,,,0.5
a,19th Century and Civil War,Books,Emancipating Lincoln,,1,b,,,,0.5
a,19th Century and Civil War,Books,Emperor of Liberty,,1,b,,,,0.5
a,19th Century and Civil War,Books,Empire of Vines,,1,b,,,,0.5
a,19th Century and Civil War,Books,Empty Sleeves,,1,b,,,,0.5
a,19th Century and Civil War,Books,Engineering in American Society,,1,b,,,,0.5
a,19th Century and Civil War,Books,Engines of Diplomacy,,1,b,,,,0.5
a,19th Century and Civil War,Books,English Public Opinion and the American Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,Enlightening the World,,1,b,,,,0.5
a,19th Century and Civil War,Books,Entrepreneurs in the Southern Upcountry,,1,b,,,,0.5
a,19th Century and Civil War,Books,Erie Water West,,1,b,,,,0.5
a,19th Century and Civil War,Books,Excommunicated from the Union,,1,b,,,,0.5
a,19th Century and Civil War,Books,Exploring Lincoln,,1,b,,,,0.5
a,19th Century and Civil War,Books,Extraordinary Circumstances,,1,b,,,,0.5
a,19th Century and Civil War,Books,Faith in Their Own Color,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fall River Outrage,,1,b,,,,0.5
a,19th Century and Civil War,Books,Families in Crisis in the Old South,,1,b,,,,0.5
a,19th Century and Civil War,Books,Family and Population in 19th Century America,,1,b,,,,0.5
a,19th Century and Civil War,Books,Family or Freedom,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fanatics and Fire-eaters,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fanny Seward,,1,b,,,,0.5
a,19th Century and Civil War,Books,Farmers in Rebellion,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fathers of Conscience,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fear Was Not in Him,,1,b,,,,0.5
a,19th Century and Civil War,Books,Feeding Gotham,,1,b,,,,0.5
a,19th Century and Civil War,Books,Field Armies and Fortifications in the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,Field Life,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fields of Blood,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fifty Years in Chains,,1,b,,,,0.5
a,19th Century and Civil War,Books,Finding Charity's Folk,,1,b,,,,0.5
a,19th Century and Civil War,Books,Finley Peter Dunne and Mr. Dooley,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fire From the Midst of You,,1,b,,,,0.5
a,19th Century and Civil War,Books,First Fruits of Freedom,,1,b,,,,0.5
a,19th Century and Civil War,Books,Five Forks,,1,b,,,,0.5
a,19th Century and Civil War,Books,Flush Times and Fever Dreams,,1,b,,,,0.5
a,19th Century and Civil War,Books,Food in the American Gilded Age,,1,b,,,,0.5
a,19th Century and Civil War,Books,Food in the Civil War Era,,1,b,,,,0.5
a,19th Century and Civil War,Books,Food in the Civil War Era,,1,b,,,,0.5
a,19th Century and Civil War,Books,For Brotherhood and Duty,,1,b,,,,0.5
a,19th Century and Civil War,Books,"For Honor, Glory, and Union",,1,b,,,,0.5
a,19th Century and Civil War,Books,For Slavery and Union,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fort Marion Prisoners and the Trauma of Native Education,,1,b,,,,0.5
a,19th Century and Civil War,Books,Founding the Fathers,,1,b,,,,0.5
a,19th Century and Civil War,Books,Framing Chief Leschi,,1,b,,,,0.5
a,19th Century and Civil War,Books,Framing the Solid South,,1,b,,,,0.5
a,19th Century and Civil War,Books,Frederick Douglass,,1,b,,,,0.5
a,19th Century and Civil War,Books,Frederick Douglass and the Atlantic World,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fredericksburg! Fredericksburg!,,1,b,,,,0.5
a,19th Century and Civil War,Books,Free Black Communities and the Underground Railroad,,1,b,,,,0.5
a,19th Century and Civil War,Books,Free Labor,,1,b,,,,0.5
a,19th Century and Civil War,Books,Free Soil,,1,b,,,,0.5
a,19th Century and Civil War,Books,Free Spirits,,1,b,,,,0.5
a,19th Century and Civil War,Books,Freebooters and Smugglers,,1,b,,,,0.5
a,19th Century and Civil War,Books,Freedom at Risk,,1,b,,,,0.5
a,19th Century and Civil War,Books,Freedom for Themselves,,1,b,,,,0.5
a,19th Century and Civil War,Books,Freedom Papers,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Freedom, Union, and Power: Lincoln and His Party in the Civil War",,1,b,,,,0.5
a,19th Century and Civil War,Books,"Freedom: A Documentary History of Emancipation, 1861-1867",,1,b,,,,0.5
a,19th Century and Civil War,Books,"Freedom: A Documentary History of Emancipation, 1861-1867",,1,b,,,,0.5
a,19th Century and Civil War,Books,Freedom's Frontier,,1,b,,,,0.5
a,19th Century and Civil War,Books,Freedom's Promise,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Freedwomen and the Freedmen's Bureau: Race, Gender, and Public Policy in the Age of Emancipation",,1,b,,,,0.5
a,19th Century and Civil War,Books,Freeing Charles,,1,b,,,,0.5
a,19th Century and Civil War,Books,From Abolition to Rights for All,,1,b,,,,0.5
a,19th Century and Civil War,Books,From Blue Mills to Columbia,,1,b,,,,0.5
a,19th Century and Civil War,Books,From New York to San Francisco,,1,b,,,,0.5
a,19th Century and Civil War,Books,From Slavery to Poverty,,1,b,,,,0.5
a,19th Century and Civil War,Books,Front Line of Freedom,,1,b,,,,0.5
a,19th Century and Civil War,Books,Frontier Manhattan,,1,b,,,,0.5
a,19th Century and Civil War,Books,Frontiers of Faith,,1,b,,,,0.5
a,19th Century and Civil War,Books,Fruitlands,,1,b,,,,0.5
a,19th Century and Civil War,Books,Funding Feminism,,1,b,,,,0.5
a,19th Century and Civil War,Books,Game Faces,,1,b,,,,0.5
a,19th Century and Civil War,Books,Garden Variety,,1,b,,,,0.5
a,19th Century and Civil War,Books,Gathering to Save a Nation,,1,b,,,,0.5
a,19th Century and Civil War,Books,Gathering Together,,1,b,,,,0.5
a,19th Century and Civil War,Books,Gender and the Jubilee,,1,b,,,,0.5
a,19th Century and Civil War,Books,Gentlemen on the Prairie,,1,b,,,,0.5
a,19th Century and Civil War,Books,George Washington's Washington,,1,b,,,,0.5
a,19th Century and Civil War,Books,German Culture in Nineteenth-Century America,,1,b,,,,0.5
a,19th Century and Civil War,Books,Germans in the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,Geronimo,,1,b,,,,0.5
a,19th Century and Civil War,Books,Gettysburg Heroes,,1,b,,,,0.5
a,19th Century and Civil War,Books,Gettysburg Religion,,1,b,,,,0.5
