•ÈÀCategory,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
a,American History Books,Colonial Era,Paper Sovereigns,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Becoming German,,0.5,b,,,,0.5
a,American History Books,Colonial Era,From British Peasants to Colonial American Farmers,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Freedom's Debt,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Invention of Free Labor,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Ireland in the Virginian Sea,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Ninigret, Sachem of the Niantics and Narragansetts",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Medical Encounters,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Stephen Decatur,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Jonathan Edwards and the Gospel of Love,,0.5,b,,,,0.5
a,American History Books,Colonial Era,One Colonial Woman's World,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Meetinghouses of Early New England,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Guns at the Forks,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Breaking The Backcountry,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Braddock At The Monongahela,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Papist Devils,,0.5,b,,,,0.5
a,American History Books,Colonial Era,New World Babel,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Tobacco Colony,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Dreams and the Invisible World in Colonial New England,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Beyond Pontiac's Shadow,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"New York City, 1664-1710",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Early Encounters,,0.5,b,,,,0.5
a,American History Books,Colonial Era,George Mercer Papers,,0.5,b,,,,0.5
a,American History Books,Colonial Era,George Washington in the Ohio Valley,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Life of Benjamin Franklin, Volume 3",,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Opened Letter,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Making War and Minting Christians,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Learning to Read and Write in Colonial America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,From Jamestown to Jefferson,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Unnatural Rebellion,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Contesting Slavery,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Thomas Jefferson, the Classical World, and Early America",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Brothers Born of One Mother,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Thomas Jefferson, Time, and History",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Early Modern Virginia,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Limits of Optimism,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Building Charleston,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Creating the British Atlantic,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Tom Paine's America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Remaking Custom,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Voyage to Virginia in 1609,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Empire at the Periphery,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"Tituba, Reluctant Witch of Salem",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Working the Diaspora,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Widows' Might,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Colonization and Its Discontents,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Faithful Bodies,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Distant Heritage,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Breaking the Bonds,,0.5,b,,,,0.5
a,American History Books,Colonial Era,New Men,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Rabble in Arms,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Settlers' Empire,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Jesus Is Female,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Killed Strangely,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Factious People,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Gentry and Common Folk,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Jonathan Belcher,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Richard Mather of Dorchester,,0.5,b,,,,0.5
a,American History Books,Colonial Era,From Gentlemen to Townsmen,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Design in Puritan American Literature,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Biographical Dictionary of Early American Jews,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Crèvecoeur's Eighteenth-Century Travels in Pennsylvania and New York,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Road to Independence,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Religion and Politics in the Early Republic,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Laboratory for Liberty,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Allegheny Frontier,,0.5,b,,,,0.5
a,American History Books,Colonial Era,St. Louis Rising,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Divided Dominion,,0.5,b,,,,0.5
a,American History Books,Colonial Era,From Slave Ship to Harvard,,0.5,b,,,,0.5
a,American History Books,Colonial Era,American Passage,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Anglicizing America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Empire by Collaboration,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Buccaneers of the Caribbean,,0.5,b,,,,0.5
a,American History Books,Colonial Era,On Religious Liberty,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Hopeful Journeys,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Lenape Country,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Power and the Pulpit in Puritan New England,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Population of the British Colonies in America Before 1776,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Journals of Jeffery Amherst, 1757-1763, Volume 2",,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Journals of Jeffery Amherst, 1757-1763, Volume 1",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Carolina in Crisis,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Varieties of Political Experience in Eighteenth-Century America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Great Awakening,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Practice of Piety,,0.5,b,,,,0.5
a,American History Books,Colonial Era,King and People in Provincial Massachusetts,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Memoir of Lieutenant Dumont, 1715–1747",,0.5,b,,,,0.5
a,American History Books,Colonial Era,The History and Present State of Virginia,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Road to Mobocracy,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Love in the Time of Revolution,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Natchez Country,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Short Life of Free Georgia,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The World of William Penn,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Home Rule,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Economy of British America, 1607-1789",,0.5,b,,,,0.5
a,American History Books,Colonial Era,William Penn,,0.5,b,,,,0.5
a,American History Books,Colonial Era,From Dependency to Independence,,0.5,b,,,,0.5
a,American History Books,Colonial Era,To Lead As Equals,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Selling Empire,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Ashley Cooper Plan,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Voyage of the Slave Ship Hare,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Temptations of Trade,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Sacred Violence in Early America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Enlightenment of Cadwallader Colden,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Papers of William Penn, Volume 1",,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Papers of William Penn, Volume 5",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Gathering Together,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Papers of William Penn, Volume 3",,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Papers of William Penn, Volume 2",,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Papers of William Penn, Volume 4",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Forbidden Passages,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Dispossessed Lives,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Ocean Is a Wilderness,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Good News from New England by Edward Winslow,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Other Jonathan Edwards,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Lovewell's Fight,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Story of French New Orleans,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Freshwater Passages,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Colonial Mediascapes,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Native Acts,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Yamasee War,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Description of New Netherland,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Texture of Contact,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Archaeology of Martin's Hundred,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Magazines and the Making of America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Puritan Origins of the American Self,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Dark Work,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Movements of Political Protest in Canada 1640-1840,,0.5,b,,,,0.5
a,American History Books,Colonial Era,For a Short Time Only,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Anglo-Native Virginia,,0.5,b,,,,0.5
a,American History Books,Colonial Era,John Witherspoon's American Revolution,,0.5,b,,,,0.5
a,American History Books,Colonial Era,A Journey Into Mohawk and Oneida Country 1634-1635,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Munsee Indian Trade in Ulster County New York 1712-1732,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Lives in Objects,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Darkness Falls on the Land of Light,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Weaver's Craft,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Power of Objects in Eighteenth-Century British America,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Intestine Enemies,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Who Should Rule at Home?,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"For God, King, and People",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Brothers and Friends,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Father of Liberty,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Rise of the Representative,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Damned Women,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Modernity and Its Other,,0.5,b,,,,0.5
a,American History Books,Colonial Era,The Townshend Moment,,0.5,b,,,,0.5
a,American History Books,Colonial Era,"The Social Life of Maps in America, 1750-1860",,0.5,b,,,,0.5
a,American History Books,Colonial Era,Our Beloved Kin,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Memory Lands,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Brethren by Nature,,0.5,b,,,,0.5
a,American History Books,Colonial Era,Franklin in His Own Time,,0.5,b,,,,0.5
a,American History Books,Colonial Era,War and Society in Colonial Connecticut,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Quotable Thoreau,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,English Public Opinion and the American Civil War,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,"The Papers of Thomas Jefferson, Volume 38: 1 July to 12 November 1802",,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Slavery and the Culture of Taste,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Enlightening the World,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Manly Art,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Awaiting the Heavenly Country,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,America's First Great Depression,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,An Elusive Unity,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,"Horace Greeley's ""New York Tribune""",,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,We Will Be Satisfied With Nothing Less,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Becoming American under Fire,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Citizen Employers,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,She Hath Been Reading,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Peninsula Campaign and the Necessity of Emancipation,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Fields of Blood,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Chancellorsville,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Shifting Loyalties,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Covered with Glory,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Price of Liberty,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Furnace of Affliction,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Retreat from Gettysburg,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Lincoln's Forgotten Ally,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Pickett's Charge in History and Memory,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Blue and Gray Diplomacy,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,All Bound Up Together,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Cities of the Dead,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Pea Ridge,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Families in Crisis in the Old South,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Wilderness Campaign,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,An African Republic,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Antietam Campaign,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Civil War in the West,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Lincoln and the Triumph of the Nation,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Long Shadow of the Civil War,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Slavery and Politics in the Early American Republic,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Critical Americans,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Revolution of 1861,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Military Memoirs of General John Pope,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,James Madison,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Pearl,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,A Republic in Time,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Imagined Civil War,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Disunion!,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,In the Trenches at Petersburg,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Boundaries of American Political Culture in the Civil War Era,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Burying the Dead but Not the Past,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,"Southern Pamphlets on Secession, November 1860-April 1861",,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Lincoln and the Decision for War,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Life and Legend of E. H. Harriman,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Spotsylvania Campaign,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,A Faithful Account of the Race,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Bravest of the Brave,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,North Carolinians in the Era of the Civil War and Reconstruction,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Plain Folk's Fight,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Long Road to Annapolis,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,First Fruits of Freedom,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,"A Cultural History of Cuba during the U.S. Occupation, 1898-1902",,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Trench Warfare under Grant and Lee,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Pickett's Charge--The Last Attack at Gettysburg,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Creating a Confederate Kentucky,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Mutiny at Fort Jackson,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Capital Intentions,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Prodigal Daughters,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Fredericksburg! Fredericksburg!,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Rise of Multicultural America,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,The Divided Family in Civil War America,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,Twelve Years a Slave,,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,"Narrative of William W. Brown, an American Slave",,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,"Behind the Scenes, or, Thirty Years a Slave, and Four Years in the White House",,0.5,b,,,,0.5
a,American History Books,Nineteenth Century and Civil War,"A Narrative of the Adventures and Escape of Moses Roper, from American Slavery",,0.5,b,,,,0.5
